il_adi,x,y
ADANA,6.0,-94.0
ADIYAMAN,147.0,-67.0
AFYONKARAHISAR,-236.0,-7.0
AĞRI,392.0,49.0
AMASYA,20.0,121.0
ANKARA,-135.0,68.0
ANTALYA,-222.0,-114.0
ARTVIN,322.0,153.0
AYDIN,-364.0,-66.0
BALIKESIR,-367.0,57.0
BILECIK,-262.0,86.0
BINGÖL,269.0,15.0
BITLIS,351.0,-18.0
BOLU,-189.0,114.0
BURDUR,-263.0,-81.0
BURSA,-313.0,87.0
ÇANAKKALE,-429.0,77.0
ÇANKIRI,-98.0,123.0
ÇORUM,-39.0,114.0
DENIZLI,-308.0,-69.0
DIYARBAKIR,250.0,-48.0
EDIRNE,-438.0,158.0
ELAZIĞ,202.0,-13.0
ERZINCAN,187.0,60.0
ERZURUM,305.0,80.0
ESKIŞEHIR,-217.0,54.0
GAZIANTEP,90.0,-105.0
GIRESUN,155.0,124.0
GÜMÜŞHANE,201.0,100.0
HAKKARI,436.0,-81.0
HATAY,41.0,-156.0
ISPARTA,-220.0,-54.0
MERSIN,-73.0,-136.0
ISTANBUL,-333.0,151.0
IZMIR,-402.0,-40.0
KARS,380.0,103.0
KASTAMONU,-83.0,177.0
KAYSERI,24.0,-10.0
KIRKLARELİ,-391.0,190.0
KIRŞEHIR,-63.0,33.0
KOCAELI,-279.0,132.0
KONYA,-149.0,-50.0
KÜTAHYA,-288.0,31.0
MALATYA,131.0,-17.0
MANISA,-366.0,1.0
KAHRAMANMARAŞ,77.0,-55.0
MARDIN,68.0,-94.0
MUĞLA,-343.0,-113.0
MUŞ,320.0,12.0
NEVŞEHIR,-34.0,-5.0
NIĞDE,-34.0,-55.0
ORDU,108.0,131.0
RİZE,273.0,139.0
SAKARYA,-246.0,122.0
SAMSUN,26.0,156.0
SIIRT,336.0,-57.0
SINOP,-20.0,185.0
SIVAS,98.0,51.0
TEKIRDAĞ,-400.0,149.0
TOKAT,60.0,106.0
TRABZON,223.0,134.0
TUNCELI,203.0,24.0
ŞANLIURFA,183.0,-99.0
UŞAK,-300.0,-13.0
VAN,410.0,-26.0
YOZGAT,-6.0,55.0
ZONGULDAK,-176.0,163.0
AKSARAY,-79.0,-23.0
BAYBURT,242.0,95.0
KARAMAN,-102.0,-102.0
KIRIKKALE,-84.0,68.0
BATMAN,301.0,-69.0
ŞIRNAK,357.0,-84.0
BARTIN,-141.0,186.0
ARDAHAN,374.0,152.0
IĞDIR,433.0,71.0
YALOVA,-310.0,119.0
KARABÜK,-138.0,151.0
KILIS,89.0,-129.0
OSMANIYE,43.0,-102.0
DÜZCE,-206.0,137.0